category,name,sku,description,price,availability,image_url
,Гідромотор KRMT400PCS,MI0029619,Pmax: 210 bar; Rpm: 304 об/хв,"502,57",,
,Гідромотор MBF10.2.28.01.03N,MI0005812,Pmax: 320 bar; M: 143 Hm; V: 28 см³,"468,6",,
,"Гідромотор MM12,5C",MI0002346,Pmax: 140(225); Rpm: 1940 об/хв,"131,32",,
,Гідромотор MM20CRS SH M12,MI0048974,Pmax: 140(225); Rpm: 1250 об/хв,"269,32",,
,Гідромотор MMFS20C,MI0009574,Pmax: 140(225); Rpm: 1250 об/хв,"141,53",,
,Гідромотор MMFS32C,MI0067510,Pmax: 140(225); Rpm: 800 об/хв,"143,68",,
,Гідромотор MP 25 CD/4,MI0003201,Pmax: 175(225)bar; Rpm: 1584 об/хв,"157,25",,
,Гідромотор MP 40 CD/4,MI0000163,Pmax: 175(225)bar; Rpm: 1555 об/хв,"159,68",,
,Гідромотор MP 50 CD/4,MI0003658,Pmax: 175(225)bar; Rpm: 1515 об/хв,"163,02",,
,Гідромотор MP100CD/4,MI0004765,Pmax: 175(225)bar; Rpm: 755 об/хв,"168,11",,
,Гідромотор MP125CD/4,MI0003176,Pmax: 175(225)bar; Rpm: 605 об/хв,"172,48",,
,Гідромотор MP160CD/4,MI0006012,Pmax: 175(225)bar; Rpm: 472 об/хв,"176,81",,
,Гідромотор MP200CD/4,MI0005799,Pmax: 175(225)bar; Rpm: 378 об/хв,"182,56",,
,Гідромотор MP250CD/4,MI0005800,Pmax: 175(225)bar; Rpm: 303 об/хв,"186,86",,
,Гідромотор MP25CDRS/4-SH M12-L5,MI0034302,Pmax: 175(225)bar; Rpm: 1584 об/хв,"337,33",,
,Гідромотор MP315 CD/4,MI0046777,Pmax: 175(225)bar; Rpm: 236 об/хв,"210,95",,
,Гідромотор MP315CD/4,MI0009785,Pmax: 175(225)bar; Rpm: 236 об/хв,"191,2",,
,Гідромотор MP32 CD/4,MI0003417,Pmax: 175(225)bar; Rpm: 1594 об/хв,"160,8",,
,Гідромотор MP32CD/4,MI0045529,Pmax: 175(225)bar; Rpm: 1594 об/хв,"173,81",,
,Гідромотор MP32CDRS/4-SH M12-L5,MI0027728,Pmax: 175(225)bar; Rpm: 1594 об/хв,"296,62",,
,Гідромотор MP400CD/4,MI0004647,Pmax: 175(225)bar; Rpm: 189 об/хв,"198,43",,
,Гідромотор MP50CD/4,MI0046093,Pmax: 175(225)bar; Rpm: 1515 об/хв,"176,21",,
,Гідромотор MP50CDRS/4-SH M12-L5,MI0034301,Pmax: 175(225)bar; Rpm: 1515 об/хв,"342,01",,
,Гідромотор MP50SH/4,MI0061444,Pmax: 175(225)bar; Rpm: 1515 об/хв,"152,2",,
,Гідромотор MP80CD/4,MI0005801,Pmax: 175(225)bar; Rpm: 945 об/хв,"165,26",,
,Гідромотор MPN32CD/3,MI0009305,Pmax: 175(225)bar; Rpm: 1594 об/хв,"176,12",,
,Гідромотор MPN40CDPC/3,MI0005809,Pmax: 175(225)bar; Rpm: 1555 об/хв,"184,18",,
,Гідромотор MPN50CD/3,MI0009786,Pmax: 175(225)bar; Rpm: 1515 об/хв,"178,31",,
,Гідромотор MPW200CD/5,MI0008234,Pmax: 175(225)bar; Rpm: 378 об/хв,"210,56",,
,Гідромотор MR100SH/4,MI0002747,Pmax: 175(225) bar; Rpm: 750 об/хв,"199,97",,
,Гідромотор MR125SHU1/4,MI0074268,Pmax: 175(225) bar; Rpm: 600 об/хв,"225,38",,
,Гідромотор MR200SH/4,MI0003550,Pmax: 175(225) bar; Rpm: 300 об/хв,"228,01",,
,Гідромотор MR315SH/4,MI0007095,Pmax: 175(225) bar; Rpm: 240 об/хв,"237,06",,
,Гідромотор MR36CD/4,MI0006688,Pmax: 175(225) bar; Rpm: 970 об/хв,"209,33",,
,Гідромотор MR400SH/4,MI0008656,Pmax: 175(225) bar; Rpm: 190 об/хв,"243,29",,
,Гідромотор MRF160C/4,MI0012900,Pmax: 175(225) bar; Rpm: 375 об/хв,"217,84",,
,Гідромотор MRF200C/4,MI0080150,Pmax: 175(225) bar; Rpm: 300 об/хв,"225,23",,
,Гідромотор MRF250C/4,MI0080285,Pmax: 175(225) bar; Rpm: 240 об/хв,"230,82",,
,Гідромотор MRN160CD/3,MI0006795,Pmax: 175(225) bar; Rpm: 470 об/хв,"241,78",,
,Гідромотор MRN80CD/3,MI0004986,Pmax: 175(225) bar; Rpm: 940 об/хв,"229,91",,
,Гідромотор MRQ50SH/4,MI0058375,Pmax: 175 bar; Rpm: 775 об/хв,"209,2",,
,Гідромотор MS 315 С/4,MI0054537,Pmax: 230 bar; Rpm: 240 об/хв,"410,28",,
,Гідромотор MS 315С/4,MI0000951,Pmax: 230 bar; Rpm: 240 об/хв,"374,68",,
,Гідромотор MS80С/4,MI0001417,Pmax:230 bar; Rpm: 810 об/хв,"324,97",,
,Гідромотор MSW250K/4,MI0005804,Pmax: 230 bar; Rpm: 300 об/хв,"377,02",,
,Гідромотор MSW315C/4,MI0002087,Pmax: 230 bar; Rpm: 240 об/хв,"394,08",,
,Гідромотор MSW315K/4,MI0000165,Pmax: 230 bar; Rpm: 240 об/хв,"398,04",,
,Гідромотор MV315CRS/4 SH M12-L5,MI0028399,Pmax: 210(300)bar; Rpm: 510 об/хв,"1168,25",,
,Гідромотор MV630CRS/4 SH M12-L5,MI0061302,Pmax: 210 bar; Rpm: 320 об/хв,"1451,12",,
,Гідромотор RW400CBMPC/3,MI0004413,Pmax: 175 bar; Rpm: 190 об/хв,"360,11",,
,Гідромотор RW80CBMPC,MI0004122,Pmax: 175 bar; Rpm: 750 об/хв,"312,84",,
,Гідромотор МH500CB,MI0040275,Pmax: 200 bar; Rpm: 150 об/хв,"352,96",,
,Гідромотор МM20C,MI0001319,Pmax: 140(225); Rpm: 1250 об/хв,"133,5",,
,Гідромотор МM32C,MI0001474,Pmax: 140(225); Rpm: 800 об/хв,"135,65",,
,Гідромотор МM50C,MI0001971,Pmax: 140(225); Rpm: 500 об/хв,"162,18",,
,Гідромотор МM8C,MI0001253,Pmax: 140(225); Rpm: 2450 об/хв,"129,17",,
,Гідромотор МMS12.5C,MI0002571,Pmax: 140(225); Rpm: 1940 об/хв,"131,32",,
,Гідромотор МMS20C,MI0002572,Pmax: 140(225); Rpm: 1250 об/хв,"133,5",,
,Гідромотор МMS32C,MI0006846,Pmax: 140(225); Rpm: 800 об/хв,"135,65",,
,Гідромотор МR 100 COD,MI0073621,Pmax: 175(225) bar; Rpm: 750 об/хв,234,,
,Гідромотор МR 50C/4,MI0000522,Pmax: 175(225) bar; Rpm: 970 об/хв,"193,73",,
,Гідромотор МR 80 C/4,MI0052893,Pmax: 175(225) bar; Rpm: 940 об/хв,"217,5",,
,Гідромотор МR 80C/4,MI0001416,Pmax: 175(225) bar; Rpm: 940 об/хв,"199,37",,
,Гідромотор МR100C/4,MI0000503,Pmax: 175(225) bar; Rpm: 750 об/хв,"203,09",,
,Гідромотор МR100CB/3,MI0002542,Pmax: 175(225) bar; Rpm: 750 об/хв,"209,29",,
,Гідромотор МR100CO/4,MI0012421,Pmax: 175(225) bar; Rpm: 750 об/хв,"200,46",,
,Гідромотор МR125C/4,MI0000523,Pmax: 175(225) bar; Rpm: 600 об/хв,"206,1",,
,Гідромотор МR125CB/3,MI0048898,Pmax: 175(225) bar; Rpm: 600 об/хв,"214,94",,
,Гідромотор МR160 C/4,MI0047924,Pmax: 175(225) bar; Rpm: 470 об/хв,"226,49",,
,Гідромотор МR160C/4,MI0000429,Pmax: 175(225) bar; Rpm: 470 об/хв,"211,66",,
,Гідромотор МR160CB/3,MI0004414,Pmax: 175(225) bar; Rpm: 470 об/хв,"220,51",,
,Гідромотор МR200C,MI0054536,Pmax: 175(225) bar; Rpm: 375 об/хв,"239,87",,
,Гідромотор МR200C/4,MI0000524,Pmax: 175(225) bar; Rpm: 375 об/хв,"219,05",,
,Гідромотор МR200CB/3,MI0020869,Pmax: 175(225) bar; Rpm: 375 об/хв,"227,89",,
,Гідромотор МR250C/4,MI0000525,Pmax: 175(225) bar; Rpm: 300 об/хв,"224,64",,
,Гідромотор МR315C/4,MI0000526,Pmax: 175(225) bar; Rpm: 240 об/хв,"230,22",,
,Гідромотор МR400C/4,MI0000527,Pmax: 175(225) bar; Rpm: 190 об/хв,"239,5",,
,Гідромотор МRB160C/CLSV,MI0000792,Pmax: 130 bar; Rpm: 375 об/хв,"350,47",,
,Гідромотор МS 100 С,MI0040319,Pmax: 230 bar; Rpm: 750 об/хв,"291,91",,
,Гідромотор МS 100С/4,MI0000164,Pmax: 230 bar; Rpm: 750 об/хв,"328,82",,
,Гідромотор МS 125 С,MI0040320,Pmax: 230 bar; Rpm: 600 об/хв,"369,8",,
,Гідромотор МS 125С/4,MI0003043,Pmax: 230 bar; Rpm: 600 об/хв,"334,5",,
,Гідромотор МS160C/4,MI0001769,Pmax: 230 bar; Rpm: 470 об/хв,"342,17",,
,Гідромотор МS200С/4,MI0002120,Pmax: 230 bar; Rpm: 375 об/хв,"347,94",,
,Гідромотор МS250С/4,MI0003416,Pmax: 230 bar; Rpm: 300 об/хв,"353,65",,
,Гідромотор МS400C/4,MI0082802,Pmax: 230 bar; Rpm: 190 об/хв,"393,78",,
,Гідромотор МS400SH/4,MI0004576,Pmax: 230 bar; Rpm: 190 об/хв,"355,93",,
,Гідромотор МS400СRS/4 SH M12-L5,MI0028842,Pmax: 230 bar; Rpm: 190 об/хв,"485,51",,
,Гідромотор МS525C/4,MI0009790,Pmax: 230 bar; Rpm: 145 об/хв,"404,17",,
,Гідромотор МS565C/4,MI0009791,Pmax: 230 bar; Rpm: 130 об/хв,"420,77",,
,Гідромотор МV 315C/4,MI0061224,Pmax: 210(300)bar; Rpm: 510 об/хв,"839,36",,
,Гідромотор МV630C/4,MI0000332,Pmax: 210 bar; Rpm: 320 об/хв,"1076,65",,
,Гідромотор МV800 C/4,MI0002041,Pmax: 210 bar; Rpm: 250 об/хв,"1134,59",,
,Гідромотор МТ 160 С,MI0040324,Pmax: 210 bar; Rpm: 622 об/хв,"583,54",,
,Гідромотор МТ 400 C,MI0040326,Pmax: 210 bar; Rpm: 304 об/хв,"708,34",,
,Гідромотор МТ160С,MI0002547,Pmax: 210 bar; Rpm: 622 об/хв,"575,41",,
,Гідромотор МТ200С,MI0003045,Pmax: 210 bar; Rpm: 620 об/хв,"587,69",,
,Гідромотор МТ250 С,MI0040274,Pmax: 210 bar; Rpm: 496 об/хв,"581,1",,
,Гідромотор МТ250С,MI0003783,Pmax: 210 bar; Rpm: 496 об/хв,"511,97",,
,Гідромотор МТ315С,MI0000486,Pmax: 210 bar; Rpm: 382 об/хв,"622,01",,
,Гідромотор МТ315СU,MI0002976,Pmax: 210 bar; Rpm: 382 об/хв,"661,07",,
,Гідромотор МТ400C,MI0004148,Pmax: 210 bar; Rpm: 304 об/хв,"655,38",,
,Гідромотор МТ630 С,MI0012321,Pmax: 210 bar; Rpm: 197 об/хв,"810,67",,
,Датчик швидкості PNP,MI0070367,для гідромоторів SCM (SUNFAB),"432,35",,
,"Електродвигун 180M-4 B3/B5 kW18,5 400/690 (180М-4В35)",MI0040745,"18,5кВт, ІЕ2, 3-х фазний","1181,8",,
,"Електродвигун 3-PHASE,4-POLE MS 1.5KW IEC90 B5 IE1",MI0016170,"1,5кВт, ІЕ1, 3-х фазний","94,64",,
,"Електродвигун 3-PHASE,4-POLE MS 1.5KW IEC90L B35 IE1",MI0016171,"1,5кВт, ІЕ1, 3-х фазний","98,28",,
,Електродвигун AC1H-0.55/1500,MI0005440,"220В 0,55 кВт","151,2",,
,Електродвигун AC1H-0.75/1500,MI0005441,"220В 0,75 кВт","164,64",,
,Електродвигун AC1H-1.1/1500,MI0005442,"220В 1,1 кВт","206,08",,
,Електродвигун AC1H-1.5/1500,MI0005443,"220В 1,5 кВт",224,,
,Електродвигун AC1H-2.2/1500,MI0005444,"220В 2,2 кВт","264,32",,
,Електродвигун AC1V-3/1500,MI0029257,220В 3 кВт,"462,56",,
,Електродвигун AC3H-0.37/1500,MI0005637,"380В 0,37 кВт","105,28",,
,Електродвигун AC3H-0.55/1500,MI0005433,"380В 0,55 кВт","114,24",,
,Електродвигун AC3H-0.75/1500,MI0005434,"380В 0,75 кВт","120,96",,
,Електродвигун AC3H-1.1/1500,MI0005435,"380В 1,1 кВт","190,4",,
,Електродвигун AC3H-1.5/1500,MI0005436,"380В 1,5 кВт","183,68",,
,Електродвигун AC3H-2.2/1500,MI0005437,"380В 2,2 кВт","201,6",,
,Електродвигун AC3H-3/1500,MI0005438,380В 3 кВт,"219,52",,
,Електродвигун AC3H-4/1500,MI0019190,380В 4 кВт,"291,2",,
,Електродвигун AC3M-0.55/1500,MI0034503,"380В 0,55 кВт","188,16",,
,Електродвигун AC3M-1.1/1500,MI0051680,"380В 1,1 кВт",280,,
,Електродвигун AC3V-0.55/1500,MI0027200,"380В 0,55 кВт","106,58",,
,"Електродвигун AGM2E 63 M 4A 0,120 KW 1500 230V D/400V Y 50HZ, 460V Y B35",G2SSA063M4AB351CAAC,"0,12 кВт; IE2; 3-х фазний","86,81",,
,"Електродвигун AGM2EL 80 M 4A 0,550 KW 1500 230V D/400V Y 50HZ, 460V Y 60HZ. B35",G2TAA080M4AB351CAAC,"0,55 кВт; IE2; 3-х фазний","129,79",,
,"Електродвигун AGM3EL 100 L 4A 2,200 KW 1500 230V D/400V Y 50HZ, 460V Y 60HZ. B35",G3TAA100L4AB351CAAC,"2,2 кВт; IE3; 3-х фазний","254,08",,
,"Електродвигун AGM3EL 100 L 4B 3,000 KW 1500 230V D/400V Y 50HZ, 460V Y 60HZ. B35",G3TAA100L4BB351CAAC,3 кВт; IE3; 3-х фазний,"301,51",,
,"Електродвигун AGM3EL 112 M 4A 4,000 KW 1500 400V D/690V Y 50Hz, 460V D 60HZ. B35",G3TAA112M4AB351DAAC,4 кВт; IE3; 3-х фазний,"352,79",,
,"Електродвигун AGM3EL 132 M 4B 7,500 KW 1500 400V D/690V Y 50Hz, 460V D 60HZ. B35",G3TAA132M4BB351DAAC,"7,5 кВт; IE3; 3-х фазний","521,11",,
,"Електродвигун AGM3EL 132 S 4a 5,500 KW 1500 400V D/690V Y 50HZ, 460V D 60HZ.B35",G3TAA132S4AB351DAAC,"5,5 кВт; IE3; 3-х фазний","448,69",,
,"Електродвигун AGM3EL 160 L 4B 15,000 KW 1500 400V D/690V Y 50HZ, 460V D B35",G3TAA160L4BB351DAAE,15 кВт; IE3; 3-х фазний,"1014,88",,
,"Електродвигун AGM3EL 160 M 4A 11,000 KW 1500 400V D/690V Y 50HZ, 460V D B35",MI0062640,"11 кВт; IE3; 3-х фазний, вал 42, фланець 350","925,8",,
,"Електродвигун AGM3EL 180 L 4B 22,000 KW 1500 400V D/690V Y 50HZ, 460V D B35",G3TAA180L4BB351DAAE,22 кВт; IE3; 3-х фазний,"1379,89",,
,"Електродвигун AGM3EL 180 M 4A 18,500 KW 1500 400V D/690V Y 50HZ, 460V D 60HZ.B35",G3TAA180M4AB351DAAE,"18,5 кВт; IE3; 3-х фазний","1315,44",,
,"Електродвигун AGM3EL 200 L 4A 30,000 KW 1500 400V D/690V Y 50Hz, 460V D 60HZ. B35",G3TAA200L4AB351DAAG,30 кВт; IE3; 3-х фазний,"1733,24",,
,"Електродвигун AGM3EL 80 H 4B 0,750 KW 1500 230V D/400V Y 50Hz, 460V Y B35",G3TAA080H4BB351CAAC,"0,75 кВт; IE3; 3-х фазний","139,62",,
,"Електродвигун AGM3EL 90 H 4B 1,500 KW 1500 230V D/400V Y 50HZ, 460V Y B35",G3TAA090H4BB351CAAC,"1,5 кВт; IE3; 3-х фазний","189,68",,
,"Електродвигун AGM3EL 90 S 4A 1,100 KW 1500 230V D/400V Y 50HZ, 460V Y B35",G3TCA090S4AB351CAAC,"1,1 кВт; IE3; 3-х фазний","162,17",,
,"Електродвигун AGMEL 71 M 4A 0,250 KW 1500 230V D/400V Y 50HZ, 460V Y 60HZ. B35",G1SSA071M4AB351CAAC,"0,25 кВт; IE-; 3-х фазний","104,06",,
,"Електродвигун C.AGM2EL 112 M 4B 5,500 KW 1500 400V D/690V Y 50Hz, 460V D B35",G2TAA112M4BB351DAAC,"5,5 кВт; IE2; 3-х фазний","356,76",,
,Електродвигун D2EA90S4AB35 1.1kW 1500rpm B35,MI0021638,"1,1 кВт; IE2; 3-х фазний","112,66",,
,Електродвигун DC12MY-0.8/2500,MI0006257,"12B 0,8 кВт","97,44",,
,Електродвигун DC12MY-1.6/2500,MI0005446,"12В 1,6 кВт","107,52",,
,Електродвигун DC12MY-2.5/2500,MI0005447,"12В 2,5 кВт","165,76",,
,Електродвигун DC12MY-2/2500,MI0006889,12В 2 кВт,"192,64",,
,Електродвигун DC12MY-3/3500,MI0022982,12В 3 кВт,"349,44",,
,Електродвигун DC24MY-0.8/3500,MI0083534,"24В 0,8 кВт","97,44",,
,Електродвигун DC24MY-3/3500,MI0005449,24В 3 кВт,"299,04",,
,Електродвигун DC24V-0.8/2500,MI0005448,"24В 0,8 кВт","97,44",,
,Електродвигун DC24V-2.2/2500,MI0006733,"24В 2,2 кВт","116,48",,
,Електродвигун DM3EA100L4B 3kW 1500rpm B35,MI0046846,3 кВт; IE3; 3-х фазний,"292,82",,
,Електродвигун DM3EA132S4A 5.5kW 1500rpm B35,MI0046850,"5,5 кВт; IE3; 3-х фазний","447,62",,
,Електродвигун DS63M4A 0.12kW 1430rpm B35 230V IP55 1 PHASE,MI0019529,"0,12 кВт; IE1; 1-о фазний","82,26",,
,Електродвигун GM3E 315 M 4b 132KW 1500 400V D/690V Y 50HZ 460V D 60HZ. B35,MI0070474,132 кВт; IE3; 3-х фазний,"7658,69",,
,Електродвигун M112M-4 B3/B5 kW4 230V 1PH (M112M-4B35 ),MI0024282,"4кВт, ІЕ2, 1-о фазний","458,28",,
,"Електродвигун M22D 71 M 4c 0,250 KW 1500 220V (50HZ) B35",M2SDA071M4CB354EAAA,"0,25 кВт; IE2; 1-о фазний; вал 14, фланець 350","108,22",,
,Електродвигун MD12080AN+TR (DC),MI0027367,12V 0.8 kW,"76,28",,
,Електродвигун MD12160AN+TR (DC),MI0017822,12V 1.6 kW,"112,09",,
,Електродвигун MD12200AN+TR (DC),MI0027369,12V 2 kW,"161,9",,
,Електродвигун MD12260AN (DC),MI0027368,12V 2.6 kW,"256,57",,
,Електродвигун MD24080AN+TR (DC),MI0027377,24V 0.8 kW,"94,67",,
,Електродвигун MD24130I (DC),MI0017821,24V 1.3 kW,"108,66",,
,Електродвигун MD24220I (DC),MI0017824,24V 2.2 kW,"119,58",,
,Електродвигун MD24300I (DC),MI0017825,24V 3 kW,"311,24",,
,Електродвигун ML220037-4F,MI0039982,220V 0.37 kW,"180,44",,
,Електродвигун ML220075-4F (AC),MI0017827,220V 0.75 kW,"211,72",,
,Електродвигун ML220150-4F (AC),MI0017829,220V 1.5 kW,"225,55",,
,Електродвигун ML220220-4F (AC),MI0017831,220V 2.2 kW,"261,54",,
,Електродвигун ML220300-4F (AC),MI0017832,220V 3 kW,"256,2",,
,"Електродвигун Mot 100LA-4 B3/B5 kW2,2 230/400 (100LA-4B35)",MI0045322,"2,2кВт, ІЕ2, 3-х фазний","311,78",,
,Електродвигун Mot 100LB-4 B3/B5 kW3 230/400 (100LB-4B35),MI0045323,"3кВт, ІЕ2, 3-х фазний","335,17",,
,Електродвигун Mot 112M-4 B3/B5 kW4 230/400 (112M-4B35),MI0045324,"4кВт, ІЕ2, 3-х фазний","388,19",,
,"Електродвигун Mot 132M-4 B3/B5 kW7,5 230/400 (132M-4B35)",MI0045326,"7,5кВт, ІЕ2, 3-х фазний","624,58",,
,"Електродвигун Mot 132S-4 B3/B5 kW 5,5 230/400 (132S-4B35)",MI0045325,"5,5кВт, ІЕ2, 3-х фазний","586,14",,
,Електродвигун Mot 160L-4 B3/B5 kW15 400/690 (160L-4B35*),MI0045328,"15кВт, ІЕ2, 3-х фазний","1221,18",,
,"Електродвигун Mot 90L-4 B3/B5 kW1,5 230/400 (90L-4B35)",MI0045321,"2,2кВт, ІЕ2, 3-х фазний","224,17",,
,"Електродвигун Mot 90S-4 B3/B5 kW1,1 230/400 (90S-4B35)",MI0045320,"1,1кВт, ІЕ2, 3-х фазний","194,81",,
,Електродвигун MS380037-4F (AC),MI0017833,380V 0.37 kW,"91,55",,
,Електродвигун MS380075-4F (AC),MI0017834,380V 0.75 kW,"139,82",,
,Електродвигун MS380110-4F (AC),MI0027376,380V 1.1 kW,"186,82",,
,Електродвигун MS380220-4F (AC),MI0017838,380V 2.2 kW,"191,7",,
,Електродвигун V2EA63M4B 0.12kW 1500d/d B35 IE2 230/400V 50Hz IP55,MI0046314,"0,12 кВт; IE2; 3-х фазний","85,54",,
,Електродвигун V3EA90L4A 1.5kW,MI0046307,"1,5 кВт; IE3; 3-х фазний","195,29",,
,Клапан HDS84-108-130 24V (10820024878),10820024878,Клапан розвантажувальний для насосів HDS84-108-130,"291,2",,
,Клапан HDT 75-84-96-108 24V (10820024887),10820024887,Клапан розвантажувальний для насосів HDT 84-108,"291,2",,
,Комплект ущільнень 3133458,MI0070890,"до насосу PUMP-PNEU-50:1 KG.200, 0234702","38,81",,
,Комплект фітинга 15511290509,15511290509,Фітінг 90 градусів 50 мм під насоси регульовані,"70,36",,
,Комплект фітінга 15511200632,15511200632,Фітінг прямий 63мм під насоси регульвані та 76+76,"52,78",,
